case_id,split
BDMAP_00000001,train
BDMAP_00000003,train
BDMAP_00000005,train
BDMAP_00000006,train
BDMAP_00000007,train
BDMAP_00000009,train
BDMAP_00000011,train
BDMAP_00000012,train
BDMAP_00000013,train
BDMAP_00000014,train
BDMAP_00000016,train
BDMAP_00000017,train
BDMAP_00000018,train
BDMAP_00000020,train
BDMAP_00000021,train
BDMAP_00000022,train
BDMAP_00000023,train
BDMAP_00000024,train
BDMAP_00000026,train
BDMAP_00000027,train
BDMAP_00000028,train
BDMAP_00000029,train
BDMAP_00000030,train
BDMAP_00000031,train
BDMAP_00000032,train
BDMAP_00000033,train
BDMAP_00000034,train
BDMAP_00000035,train
BDMAP_00000036,train
BDMAP_00000038,train
BDMAP_00000039,train
BDMAP_00000040,train
BDMAP_00000041,train
BDMAP_00000042,train
BDMAP_00000043,train
BDMAP_00000044,train
BDMAP_00000046,train
BDMAP_00000047,train
BDMAP_00000048,train
BDMAP_00000049,train
BDMAP_00000050,train
BDMAP_00000051,train
BDMAP_00000052,train
BDMAP_00000053,train
BDMAP_00000054,train
BDMAP_00000055,train
BDMAP_00000058,train
BDMAP_00000059,train
BDMAP_00000060,train
BDMAP_00000061,train
BDMAP_00000063,train
BDMAP_00000064,train
BDMAP_00000065,train
BDMAP_00000066,train
BDMAP_00000067,train
BDMAP_00000068,train
BDMAP_00000069,train
BDMAP_00000070,train
BDMAP_00000072,train
BDMAP_00000073,train
BDMAP_00000074,train
BDMAP_00000076,train
BDMAP_00000077,train
BDMAP_00000079,train
BDMAP_00000080,train
BDMAP_00000081,train
BDMAP_00000082,train
BDMAP_00000083,train
BDMAP_00000085,train
BDMAP_00000086,train
BDMAP_00000087,train
BDMAP_00000088,train
BDMAP_00000089,train
BDMAP_00000091,train
BDMAP_00000092,train
BDMAP_00000094,train
BDMAP_00000095,train
BDMAP_00000096,train
BDMAP_00000097,train
BDMAP_00000098,train
BDMAP_00000099,train
BDMAP_00000100,train
BDMAP_00000101,train
BDMAP_00000102,train
BDMAP_00000103,train
BDMAP_00000104,train
BDMAP_00000105,train
BDMAP_00000107,train
BDMAP_00000110,train
BDMAP_00000111,train
BDMAP_00000112,train
BDMAP_00000113,train
BDMAP_00000115,train
BDMAP_00000116,train
BDMAP_00000117,train
BDMAP_00000119,train
BDMAP_00000120,train
BDMAP_00000121,train
BDMAP_00000122,train
BDMAP_00000123,train
BDMAP_00000124,train
BDMAP_00000126,train
BDMAP_00000127,train
BDMAP_00000128,train
BDMAP_00000130,train
BDMAP_00000131,train
BDMAP_00000132,train
BDMAP_00000133,train
BDMAP_00000134,train
BDMAP_00000135,train
BDMAP_00000136,train
BDMAP_00000138,train
BDMAP_00000139,train
BDMAP_00000140,train
BDMAP_00000142,train
BDMAP_00000143,train
BDMAP_00000144,train
BDMAP_00000146,train
BDMAP_00000147,train
BDMAP_00000148,train
BDMAP_00000149,train
BDMAP_00000150,train
BDMAP_00000151,train
BDMAP_00000152,train
BDMAP_00000153,train
BDMAP_00000154,train
BDMAP_00000155,train
BDMAP_00000156,train
BDMAP_00000157,train
BDMAP_00000158,train
BDMAP_00000159,train
BDMAP_00000160,train
BDMAP_00000161,train
BDMAP_00000162,train
BDMAP_00000163,train
BDMAP_00000164,train
BDMAP_00000165,train
BDMAP_00000167,train
BDMAP_00000168,train
BDMAP_00000169,train
BDMAP_00000171,train
BDMAP_00000172,train
BDMAP_00000173,train
BDMAP_00000174,train
BDMAP_00000175,train
BDMAP_00000176,train
BDMAP_00000177,train
BDMAP_00000178,train
BDMAP_00000179,train
BDMAP_00000181,train
BDMAP_00000182,train
BDMAP_00000183,train
BDMAP_00000186,train
BDMAP_00000187,train
BDMAP_00000188,train
BDMAP_00000189,train
BDMAP_00000190,train
BDMAP_00000191,train
BDMAP_00000192,train
BDMAP_00000193,train
BDMAP_00000194,train
BDMAP_00000195,train
BDMAP_00000196,train
BDMAP_00000197,train
BDMAP_00000200,train
BDMAP_00000201,train
BDMAP_00000202,train
BDMAP_00000204,train
BDMAP_00000206,train
BDMAP_00000207,train
BDMAP_00000208,train
BDMAP_00000209,train
BDMAP_00000210,train
BDMAP_00000212,train
BDMAP_00000214,train
BDMAP_00000216,train
BDMAP_00000218,train
BDMAP_00000221,train
BDMAP_00000222,train
BDMAP_00000223,train
BDMAP_00000224,train
BDMAP_00000225,train
BDMAP_00000227,train
BDMAP_00000228,train
BDMAP_00000230,train
BDMAP_00000231,train
BDMAP_00000232,train
BDMAP_00000233,train
BDMAP_00000235,train
BDMAP_00000236,train
BDMAP_00000237,train
BDMAP_00000238,train
BDMAP_00000239,train
BDMAP_00000240,train
BDMAP_00000241,train
BDMAP_00000242,train
BDMAP_00000243,train
BDMAP_00000244,train
BDMAP_00000245,train
BDMAP_00000246,train
BDMAP_00000247,train
BDMAP_00000248,train
BDMAP_00000251,train
BDMAP_00000252,train
BDMAP_00000253,train
BDMAP_00000254,train
BDMAP_00000255,train
BDMAP_00000257,train
BDMAP_00000258,train
BDMAP_00000259,train
BDMAP_00000260,train
BDMAP_00000262,train
BDMAP_00000263,train
BDMAP_00000264,train
