task_name,case_id,split,image,label,image_exists,label_exists
Task01_BrainTumour,BRATS_457,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_457.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_457.nii.gz,1,1
Task01_BrainTumour,BRATS_306,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_306.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_306.nii.gz,1,1
Task01_BrainTumour,BRATS_206,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_206.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_206.nii.gz,1,1
Task01_BrainTumour,BRATS_449,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_449.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_449.nii.gz,1,1
Task01_BrainTumour,BRATS_318,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_318.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_318.nii.gz,1,1
Task01_BrainTumour,BRATS_218,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_218.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_218.nii.gz,1,1
Task01_BrainTumour,BRATS_434,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_434.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_434.nii.gz,1,1
Task01_BrainTumour,BRATS_365,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_365.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_365.nii.gz,1,1
Task01_BrainTumour,BRATS_265,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_265.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_265.nii.gz,1,1
Task01_BrainTumour,BRATS_214,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_214.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_214.nii.gz,1,1
Task01_BrainTumour,BRATS_314,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_314.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_314.nii.gz,1,1
Task01_BrainTumour,BRATS_445,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_445.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_445.nii.gz,1,1
Task01_BrainTumour,BRATS_269,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_269.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_269.nii.gz,1,1
Task01_BrainTumour,BRATS_369,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_369.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_369.nii.gz,1,1
Task01_BrainTumour,BRATS_438,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_438.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_438.nii.gz,1,1
Task01_BrainTumour,BRATS_277,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_277.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_277.nii.gz,1,1
Task01_BrainTumour,BRATS_377,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_377.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_377.nii.gz,1,1
Task01_BrainTumour,BRATS_426,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_426.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_426.nii.gz,1,1
Task01_BrainTumour,BRATS_095,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_095.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_095.nii.gz,1,1
Task01_BrainTumour,BRATS_222,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_222.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_222.nii.gz,1,1
Task01_BrainTumour,BRATS_195,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_195.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_195.nii.gz,1,1
Task01_BrainTumour,BRATS_473,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_473.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_473.nii.gz,1,1
Task01_BrainTumour,BRATS_322,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_322.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_322.nii.gz,1,1
Task01_BrainTumour,BRATS_241,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_241.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_241.nii.gz,1,1
Task01_BrainTumour,BRATS_410,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_410.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_410.nii.gz,1,1
Task01_BrainTumour,BRATS_341,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_341.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_341.nii.gz,1,1
Task01_BrainTumour,BRATS_330,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_330.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_330.nii.gz,1,1
Task01_BrainTumour,BRATS_461,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_461.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_461.nii.gz,1,1
Task01_BrainTumour,BRATS_187,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_187.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_187.nii.gz,1,1
Task01_BrainTumour,BRATS_230,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_230.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_230.nii.gz,1,1
Task01_BrainTumour,BRATS_087,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_087.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_087.nii.gz,1,1
Task01_BrainTumour,BRATS_199,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_199.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_199.nii.gz,1,1
Task01_BrainTumour,BRATS_099,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_099.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_099.nii.gz,1,1
Task01_BrainTumour,BRATS_353,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_353.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_353.nii.gz,1,1
Task01_BrainTumour,BRATS_402,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_402.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_402.nii.gz,1,1
Task01_BrainTumour,BRATS_253,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_253.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_253.nii.gz,1,1
Task01_BrainTumour,BRATS_384,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_384.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_384.nii.gz,1,1
Task01_BrainTumour,BRATS_133,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_133.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_133.nii.gz,1,1
Task01_BrainTumour,BRATS_284,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_284.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_284.nii.gz,1,1
Task01_BrainTumour,BRATS_033,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_033.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_033.nii.gz,1,1
Task01_BrainTumour,BRATS_150,train,data/raw/extracted/Task01_BrainTumour/imagesTr/BRATS_150.nii.gz,data/raw/extracted/Task01_BrainTumour/labelsTr/BRATS_150.nii.gz,1,1
